Year,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,0.0,84.0,98.0,428.9,0.0,498.2,308.0,271.4,138.0,0.0
1999,0.0,560.0,336.5,995.6,0.0,945.4,441.2,893.0,408.5,0.0
2000,0.0,1209.2,371.5,1271.5,0.0,889.1,533.6,994.6,628.2,0.0
2001,0.0,565.7,82.9,435.9,0.0,352.7,176.7,348.5,155.1,0.0
2002,0.0,416.3,52.4,465.1,0.0,203.2,108.0,180.7,50.5,0.0
2003,0.0,253.0,79.8,373.4,0.0,259.7,293.5,175.9,76.1,0.0
2004,0.0,249.7,52.0,345.4,0.0,95.1,50.1,135.6,54.5,0.0
2005,0.0,343.9,163.0,581.4,0.0,141.9,83.5,326.8,128.1,0.0
2006,0.0,617.1,186.4,1022.1,0.0,354.7,141.3,338.0,191.6,0.0
2007,0.0,257.5,71.7,284.2,0.0,150.0,56.6,152.6,80.5,0.0
2008,0.0,0.0,23.9,60.6,0.0,45.7,0.0,47.2,33.3,0.0
2009,6.3,0.0,17.4,47.9,197.0,55.0,0.0,64.6,22.4,0.0
2010,11.5,112.3,24.4,59.4,16.4,55.5,55.8,59.6,28.7,14.8
2011,18.1,221.5,20.9,96.7,93.2,68.6,38.7,73.6,26.1,0.0
2012,10.4,23.4,5.4,12.4,20.9,17.0,43.8,16.4,4.4,0.0
2013,14.7,30.8,0.0,12.7,27.2,0.0,23.1,0.0,0.0,0.0
2014,0.0,63.1,7.9,19.2,8.4,52.7,5.8,37.4,11.3,0.0
2015,4.0,0.0,0.0,0.0,15.3,60.6,0.0,46.1,0.0,0.0
2016,0.0,0.0,72.7,84.6,0.0,60.0,0.0,56.9,78.5,0.0
