MonthName,Year,value_final
January,1998,0.01
February,1998,0.03
March,1998,0.03
April,1998,0.11
May,1998,0.12000000000000001
June,1998,0.1
July,1998,0.05
August,1998,0.14
September,1998,0.13
October,1998,0.11
November,1998,0.03
December,1998,0.02
January,1999,0.05
February,1999,0.08
March,1999,0.09
April,1999,0.15000000000000002
May,1999,0.12
June,1999,0.18
July,1999,0.17
August,1999,0.11
September,1999,0.08
October,1999,0.04
November,1999,0.04
December,1999,0.04
January,2000,0.08
February,2000,0.06
March,2000,0.11000000000000001
April,2000,0.04
May,2000,0.09
June,2000,0.11000000000000001
July,2000,0.8700000000000001
August,2000,0.2
September,2000,0.09
October,2000,0.1
November,2000,0.11000000000000001
December,2000,0.18
January,2001,0.12
March,2001,0.09
April,2001,0.13
May,2001,0.03
June,2001,0.03
July,2001,0.12
August,2001,0.06
September,2001,0.12
October,2001,0.12
December,2001,0.1
February,2002,0.535
March,2002,0.12
April,2002,0.06
May,2002,0.25
June,2002,0.17
July,2002,0.11000000000000001
August,2002,0.09
September,2002,0.29
October,2002,0.135
November,2002,0.15000000000000002
December,2002,0.23000000000000004
January,2003,0.11100000000000002
February,2003,0.117
March,2003,0.231
April,2003,0.223
May,2003,0.30000000000000004
June,2003,0.252
July,2003,0.309
August,2003,0.189
September,2003,0.07
October,2003,0.265
November,2003,0.328
December,2003,0.153
January,2004,0.099
February,2004,0.1315
March,2004,0.1155
April,2004,0.116
May,2004,0.1617
June,2004,0.204
July,2004,0.17099999999999999
August,2004,0.303
September,2004,0.1557
October,2004,0.125
November,2004,0.199
December,2004,0.155
January,2005,0.23600000000000002
February,2005,0.21300000000000002
March,2005,0.21
April,2005,0.153
May,2005,0.24300000000000002
June,2005,0.405
July,2005,0.188
August,2005,0.15
September,2005,0.15900000000000003
October,2005,0.169
November,2005,0.154
December,2005,0.10200000000000001
January,2006,0.14400000000000002
February,2006,0.169
March,2006,0.1567
April,2006,0.135
May,2006,0.151
June,2006,0.17700000000000002
July,2006,0.098
August,2006,0.231
September,2006,2.062
October,2006,0.11000000000000001
November,2006,0.123
December,2006,0.23400000000000004
January,2007,0.24400000000000002
February,2007,0.10000000000000002
March,2007,0.17400000000000002
April,2007,0.30200000000000005
May,2007,0.11099999999999999
June,2007,0.252
July,2007,0.14400000000000002
August,2007,0.033
September,2007,0.037
October,2007,0.015
November,2007,0.04
December,2007,0.045
January,2008,0.059
February,2008,0.13399999999999998
March,2008,0.076
May,2008,0.043
June,2008,0.046000000000000006
July,2008,0.11900000000000001
August,2008,0.252
September,2008,0.127
October,2008,0.28800000000000003
November,2008,0.15700000000000003
December,2008,0.08299999999999999
January,2009,0.07500000000000001
February,2009,0.17800000000000002
March,2009,0.14200000000000002
April,2009,0.08299999999999999
May,2009,0.44800000000000006
June,2009,0.17200000000000001
July,2009,0.11300000000000002
August,2009,0.096
September,2009,0.063
October,2009,0.07200000000000001
November,2009,0.038000000000000006
December,2009,0.059000000000000004
January,2010,0.024
February,2010,0.039
March,2010,0.051000000000000004
April,2010,0.058
May,2010,0.041
June,2010,0.05600000000000001
July,2010,0.075
August,2010,0.075
September,2010,0.236
October,2010,0.1078
November,2010,0.134
December,2010,0.091
January,2011,0.097
February,2011,0.07
March,2011,0.07300000000000001
April,2011,0.096
May,2011,0.069
June,2011,0.033
July,2011,0.07200000000000001
August,2011,0.048
September,2011,0.10499999999999998
October,2011,0.024
November,2011,0.064
December,2011,0.063
January,2012,0.013999999999999999
February,2012,0.051000000000000004
March,2012,0.043800000000000006
April,2012,0.05500000000000001
May,2012,0.11499999999999999
June,2012,0.10400000000000001
July,2012,0.097
August,2012,0.048
September,2012,0.043
October,2012,0.024
November,2012,0.0249
December,2012,0.0
January,2013,0.010499999999999999
February,2013,0.0114
March,2013,0.035
April,2013,0.044
May,2013,0.054000000000000006
June,2013,0.093
July,2013,0.046
August,2013,0.0417
September,2013,0.0528
October,2013,0.0317
November,2013,0.035
December,2013,0.0523
January,2014,0.043000000000000003
February,2014,0.051000000000000004
March,2014,0.067
April,2014,0.069
May,2014,0.09300000000000001
June,2014,0.127
July,2014,0.444
August,2014,0.15560000000000002
September,2014,0.061
October,2014,0.0698
November,2014,0.093
December,2014,0.0664
January,2015,0.0542
February,2015,0.058
March,2015,0.09000000000000001
April,2015,0.044000000000000004
May,2015,0.104
June,2015,0.13199999999999998
July,2015,0.051
August,2015,0.11
September,2015,0.05600000000000001
October,2015,0.12100000000000001
November,2015,0.07100000000000001
December,2015,0.097
January,2016,0.11800000000000001
February,2016,0.048
March,2016,0.07500000000000001
April,2016,0.05600000000000001
May,2016,0.115
June,2016,0.089
July,2016,0.136
August,2016,0.22600000000000003
September,2016,0.12100000000000001
October,2016,0.056999999999999995
November,2016,0.089
December,2016,0.081
