location,Year,value
Achara,2009,6.300000000000001
Achara,2010,11.500000000000002
Achara,2011,18.1
Achara,2012,10.4
Achara,2013,14.7
Achara,2015,4.0
Achara,2016,0.0
Boonsri,1998,84.0
Boonsri,1999,560.0
Boonsri,2000,1209.2199999999998
Boonsri,2001,565.68
Boonsri,2002,416.26000000000005
Boonsri,2003,252.98499999999999
Boonsri,2004,249.69700000000003
Boonsri,2005,343.9109990000001
Boonsri,2006,617.0779999999999
Boonsri,2007,257.511
Boonsri,2010,112.2897
Boonsri,2011,221.50660000000002
Boonsri,2012,23.43
Boonsri,2013,30.777
Boonsri,2014,63.057999999999986
Busarakhan,1998,98.0
Busarakhan,1999,336.54999999999995
Busarakhan,2000,371.48
Busarakhan,2001,82.88000000000001
Busarakhan,2002,52.42
Busarakhan,2003,79.789
Busarakhan,2004,52.028999999999996
Busarakhan,2005,162.95099799999997
Busarakhan,2006,186.428
Busarakhan,2007,71.70599999999999
Busarakhan,2008,23.900000000000002
Busarakhan,2009,17.400000000000002
Busarakhan,2010,24.400000000000002
Busarakhan,2011,20.929999999999996
Busarakhan,2012,5.4
Busarakhan,2014,7.9
Busarakhan,2016,72.7135
Chai,1998,428.89
Chai,1999,995.55
Chai,2000,1271.5499999999997
Chai,2001,435.9299999999999
Chai,2002,465.13
Chai,2003,373.43799999999993
Chai,2004,345.41200000000003
Chai,2005,581.392001
Chai,2006,1022.0629999999996
Chai,2007,284.1990000000001
Chai,2008,60.6
Chai,2009,47.90299999999999
Chai,2010,59.35
Chai,2011,96.69999999999999
Chai,2012,12.4
Chai,2013,12.7
Chai,2014,19.2
Chai,2016,84.62039999999998
Decha,2009,197.0
Decha,2010,16.41
Decha,2011,93.19
Decha,2012,20.86
Decha,2013,27.22
Decha,2014,8.45
Decha,2015,15.31
Kannika,1998,498.25
Kannika,1999,945.42
Kannika,2000,889.12
Kannika,2001,352.7
Kannika,2002,203.23000000000005
Kannika,2003,259.693
Kannika,2004,95.07099999999998
Kannika,2005,141.865
Kannika,2006,354.7459999999999
Kannika,2007,150.03999999999996
Kannika,2008,45.720000000000006
Kannika,2009,55.0
Kannika,2010,55.46999999999999
Kannika,2011,68.6
Kannika,2012,17.0
Kannika,2014,52.650999999999996
Kannika,2015,60.60000000000001
Kannika,2016,60.02
Kohsoom,1998,308.0
Kohsoom,1999,441.21
Kohsoom,2000,533.65
Kohsoom,2001,176.71
Kohsoom,2002,107.95
Kohsoom,2003,293.479
Kohsoom,2004,50.106
Kohsoom,2005,83.536
Kohsoom,2006,141.29
Kohsoom,2007,56.58099999999999
Kohsoom,2010,55.8
Kohsoom,2011,38.723
Kohsoom,2012,43.78999999999999
Kohsoom,2013,23.140000000000004
Kohsoom,2014,5.83
Sakda,1998,271.36
Sakda,1999,893.02
Sakda,2000,994.62
Sakda,2001,348.49000000000007
Sakda,2002,180.72000000000006
Sakda,2003,175.949
Sakda,2004,135.572
Sakda,2005,326.77399700000007
Sakda,2006,337.99299999999994
Sakda,2007,152.61500000000004
Sakda,2008,47.199999999999996
Sakda,2009,64.6
Sakda,2010,59.599999999999994
Sakda,2011,73.60000000000001
Sakda,2012,16.400000000000002
Sakda,2014,37.4
Sakda,2015,46.08
Sakda,2016,56.88999999999999
Somchair,1998,138.0
Somchair,1999,408.52
Somchair,2000,628.1899999999999
Somchair,2001,155.14
Somchair,2002,50.53
Somchair,2003,76.086
Somchair,2004,54.489000000000004
Somchair,2005,128.062998
Somchair,2006,191.647
Somchair,2007,80.521
Somchair,2008,33.300000000000004
Somchair,2009,22.45
Somchair,2010,28.7
Somchair,2011,26.1
Somchair,2012,4.4
Somchair,2014,11.299999999999999
Somchair,2016,78.5325
Tansanee,2010,14.85
Tansanee,2011,0.0
